Pos,Player,Conf,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,All-pro teams
QB,Lamar Jackson\JackLa00,AFC,BAL,22,1,15,15,265,401,3127,36,6,176,1206,7,0,0,0,0,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 2nd Tm SN: 1st Tm
QB,Russell Wilson\WilsRu00,NFC,SEA,31,7,16,16,341,516,4110,31,5,75,342,3,0,0,0,0,0.0,0,PFW: 1st Tm All-Conf. AP: 2nd Tm PFF: 1st Tm
QB,Drew Brees\BreeDr00,NFC,NOR,40,18,11,11,281,378,2979,27,4,9,-4,1,0,0,0,0,0.0,0,
QB,Kirk Cousins\CousKi00,NFC,MIN,31,7,15,15,307,444,3603,26,6,31,63,1,0,0,0,0,0.0,0,
QB,Patrick Mahomes %\MahoPa00,AFC,KAN,24,2,14,14,319,484,4031,26,5,43,218,2,0,0,0,0,0.0,0,
QB,Aaron Rodgers %\RodgAa00,NFC,GNB,36,14,16,16,353,569,4002,26,4,46,183,1,0,0,0,0,0.0,0,
QB,Ryan Tannehill\TannRy00,AFC,TEN,31,7,12,10,201,286,2742,22,6,43,185,4,0,0,0,0,0.0,0,
QB,Deshaun Watson\WatsDe00,AFC,HOU,24,2,15,15,333,495,3852,26,12,82,413,7,1,6,1,0,0.0,0,
RB,Christian McCaffrey%\McCaCh01,NFC,CAR,23,2,16,16,0,2,0,0,0,287,1387,15,116,1005,4,0,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm AP: 1st Tm FW: 1st Tm PFF: 2nd Tm SN: 1st Tm
RB,Derrick Henry\HenrDe00,AFC,TEN,25,3,15,15,0,0,0,0,0,303,1540,16,18,206,2,0,0.0,0,PFW: 1st Tm All-Conf. AP: 2nd Tm AP: 2nd Tm FW: 1st Tm
RB,Nick Chubb\ChubNi00,AFC,CLE,24,1,16,16,0,0,0,0,0,298,1494,8,36,278,0,0,0.0,0,PFW: 1st Tm All-Conf. PFF: 1st Tm
RB,Dalvin Cook\CookDa01,NFC,MIN,24,2,14,14,0,0,0,0,0,250,1135,13,53,519,0,0,0.0,0,PFW: 1st Tm All-Conf. SN: 1st Tm
RB,Ezekiel Elliott\ElliEz00,NFC,DAL,24,3,16,16,0,0,0,0,0,301,1357,12,54,420,2,0,0.0,0,
RB,C.J. Ham\HamxC.00,NFC,MIN,26,2,16,7,0,0,0,0,0,7,17,0,17,149,1,4,0.0,0,
RB,Mark Ingram\IngrMa01,AFC,BAL,30,8,15,15,0,0,0,0,0,202,1018,10,26,247,5,0,0.0,0,
RB,Kyle Juszczyk%\JuszKy00,NFC,SFO,28,6,12,12,0,0,0,0,0,3,7,0,20,239,1,0,0.0,0,
RB,Alvin Kamara %\KamaAl00,NFC,NOR,24,2,14,9,1,1,13,0,0,171,797,5,81,533,1,0,0.0,0,
FB,Patrick Ricard\RicaPa00,AFC,BAL,25,2,16,7,0,0,0,0,0,0,0,0,8,47,1,8,1.0,0,
WR,Deonte Harris\HarrDe07,NFC,NOR,22,Rook,14,1,0,0,0,0,0,4,31,0,6,24,0,1,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm
WR,Michael Thomas\ThomMi05,NFC,NOR,26,3,16,15,0,0,0,0,0,1,-9,0,149,1725,9,0,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm
WR,Cordarrelle Patterson\PattCo00,NFC,CHI,28,6,16,4,0,0,0,0,0,17,103,0,11,83,0,5,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm AP: 2nd Tm FW: 1st Tm SN: 1st Tm
WR,DeAndre Hopkins%\HopkDe00,AFC,HOU,27,6,15,15,1,2,6,1,1,2,18,0,104,1165,7,0,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm PFF: 2nd Tm SN: 1st Tm
WR,Julio Jones %\JoneJu02,NFC,ATL,30,8,15,15,0,0,0,0,0,2,-3,0,99,1394,6,0,0.0,0,PFW: 1st Tm All-Conf. AP: 2nd Tm FW: 1st Tm PFF: 1st Tm
WR,Matthew Slater\SlatMa00,AFC,NWE,34,11,16,0,0,0,0,0,0,0,0,0,0,0,0,7,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 2nd Tm
WR,Chris Godwin%\GodwCh00,NFC,TAM,23,2,14,14,0,0,0,0,0,1,8,0,86,1333,9,0,0.0,0,PFF: 1st Tm AP: 2nd Tm
WR,Mecole Hardman%\HardMe00,AFC,KAN,21,Rook,16,5,0,0,0,0,0,4,17,0,26,538,6,0,0.0,0,PFW: 1st Tm All-Conf. AP: 2nd Tm
WR,Keenan Allen\AlleKe00,AFC,LAC,27,6,16,16,0,0,0,0,0,3,16,0,104,1199,6,0,0.0,0,PFW: 1st Tm All-Conf.
WR,Mike Evans%\EvanMi00,NFC,TAM,26,5,13,13,0,0,0,0,0,0,0,0,67,1157,8,0,0.0,0,PFF: 2nd Tm
WR,Andre Roberts\RobeAn00,AFC,BUF,31,9,13,0,0,0,0,0,0,1,7,0,3,20,0,0,0.0,0,PFF: 2nd Tm
WR,Davante Adams\AdamDa01,NFC,GNB,27,5,12,12,0,0,0,0,0,0,0,0,83,997,5,0,0.0,0,
WR,DJ Chark\CharDJ00,AFC,JAX,23,1,15,14,0,0,0,0,0,2,20,0,73,1008,8,0,0.0,0,
WR,Amari Cooper\CoopAm00,NFC,DAL,25,4,16,16,0,0,0,0,0,1,6,0,79,1189,8,0,0.0,0,
WR,Kenny Golladay\GollKe00,NFC,DET,26,2,16,16,0,0,0,0,0,0,0,0,65,1190,11,0,0.0,0,
WR,Tyreek Hill%\HillTy00,AFC,KAN,25,3,12,12,0,0,0,0,0,8,23,0,58,860,7,0,0.0,0,
WR,Jarvis Landry\LandJa00,AFC,CLE,27,5,16,16,0,0,0,0,0,1,10,0,83,1174,6,0,0.0,0,
WR,Courtland Sutton\SuttCo00,AFC,DEN,24,1,16,14,1,1,38,0,0,3,17,0,72,1112,6,0,0.0,0,
TE,George Kittle%\KittGe00,NFC,SFO,26,2,14,14,0,0,0,0,0,5,22,0,85,1053,5,0,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm
TE,Travis Kelce%\KelcTr00,AFC,KAN,30,6,16,16,0,0,0,0,0,1,4,1,97,1229,5,0,0.0,0,PFW: 1st Tm All-Conf. AP: 2nd Tm PFF: 2nd Tm SN: 1st Tm
TE,Mark Andrews\AndrMa00,AFC,BAL,24,1,15,4,0,0,0,0,0,0,0,0,64,852,10,0,0.0,0,
TE,Jared Cook\CookJa02,NFC,NOR,32,10,14,7,0,0,0,0,0,0,0,0,43,705,9,0,0.0,0,
TE,Jack Doyle\DoylJa00,AFC,IND,29,6,16,16,0,0,0,0,0,0,0,0,43,448,4,0,0.0,0,
TE,Zach Ertz%\ErtzZa00,NFC,PHI,29,6,15,15,0,0,0,0,0,0,0,0,88,916,6,0,0.0,0,
TE,Austin Hooper\HoopAu00,NFC,ATL,25,3,13,10,0,0,0,0,0,0,0,0,75,787,6,0,0.0,0,
T,Ronnie Stanley\StanRo00,AFC,BAL,25,3,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm
T,David Bakhtiari%\BakhDa00,NFC,GNB,28,6,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,PFW: 1st Tm All-Conf. AP: 2nd Tm SN: 1st Tm
T,Laremy Tunsil\TunsLa00,AFC,HOU,25,3,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,SN: 1st Tm
T,Terron Armstead\ArmsTe00,NFC,NOR,28,6,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
T,Orlando Brown Jr.\BrowOr00,AFC,BAL,23,1,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
T,Trent Brown%\BrowTr02,AFC,OAK,26,4,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
T,Lane Johnson\JohnLa01,NFC,PHI,29,6,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
T,Andrus Peat\PeatAn00,NFC,NOR,26,4,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
T,Brandon Scherff%\ScheBr00,NFC,WAS,28,4,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
T,Tyron Smith\SmitTy00,NFC,DAL,29,8,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
G,Quenton Nelson\NelsQu00,AFC,IND,23,1,16,16,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm
G,Zack Martin %\MartZa00,NFC,DAL,29,5,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm PFF: 2nd Tm SN: 1st Tm
G,Marshal Yanda\YandMa20,AFC,BAL,35,12,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,PFW: 1st Tm All-Conf. AP: 2nd Tm FW: 1st Tm
G,Brandon Brooks%\BrooBr00,NFC,PHI,30,7,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,PFW: 1st Tm All-Conf. PFF: 1st Tm
G,Joel Bitonio\BitoJo00,AFC,CLE,28,5,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,AP: 2nd Tm
G,David DeCastro%\DeCaDa00,AFC,PIT,29,7,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
G,Trai Turner\TurnTr01,NFC,CAR,26,5,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
G,Larry Warford\WarfLa00,NFC,NOR,28,6,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
C,Jason Kelce\KelcJa00,NFC,PHI,32,8,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm
C,Rodney Hudson\HudsRo00,AFC,OAK,30,8,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,PFW: 1st Tm All-Conf. AP: 2nd Tm
C,Travis Frederick\FredTr00,NFC,DAL,28,6,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
C,Ryan Kelly\KellRy00,AFC,IND,26,3,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
C,Maurkice Pouncey%\PounMa20,AFC,PIT,30,9,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
