Pos,Player,Conf,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,All-pro teams
QB,Peyton Manning %\MannPe00,,DEN,37,15,16,16,450,659,5477,55,10,32,-31,1,0,0,0,0,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm
QB,Drew Brees\BreeDr00,Rice,NOR,34,12,16,16,446,650,5162,39,12,35,52,3,0,0,0,0,0.0,0,PFW: 1st Tm All-Conf.
QB,Philip Rivers\RivePh00,Rice,SDG,32,9,16,16,378,544,4478,32,11,28,72,0,0,-9,0,0,0.0,0,PFF: 2nd Tm
QB,Tom Brady %\BradTo00,,NWE,36,13,16,16,380,628,4343,25,11,32,18,0,0,0,0,0,0.0,0,
QB,Nick Foles+\FoleNi00,Sanders,PHI,24,1,13,10,203,317,2891,27,2,57,221,3,0,0,0,0,0.0,0,
QB,Andrew Luck +\LuckAn00,Sanders,IND,24,1,16,16,343,570,3822,23,9,63,377,4,0,0,0,0,0.0,0,
QB,Cam Newton\NewtCa00,Sanders,CAR,24,2,16,16,292,473,3379,24,13,111,585,6,0,0,0,0,0.0,0,
QB,Alex Smith+\SmitAl03,Rice,KAN,29,8,15,15,308,508,3313,23,7,76,431,1,1,-4,0,0,0.0,0,
QB,Russell Wilson %\WilsRu00,,SEA,25,1,16,16,257,407,3357,26,9,96,539,1,0,0,0,0,0.0,0,
RB,LeSean McCoy\McCoLe01,Rice,PHI,25,4,16,16,0,0,0,0,0,314,1607,9,52,539,2,0,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm
RB,Jamaal Charles\CharJa00,Sanders,KAN,27,5,15,15,0,0,0,0,0,259,1287,12,70,693,7,0,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 2nd Tm SN: 1st Tm
RB,Matt Forte\FortMa00,Rice,CHI,28,5,16,16,0,0,0,0,0,289,1339,9,74,594,3,0,0.0,0,PFW: 1st Tm All-Conf.
RB,Eddie Lacy+\LacyEd00,Sanders,GNB,23,Rook,15,15,0,0,0,0,0,284,1178,11,35,257,0,0,0.0,0,AP: 2nd Tm
RB,Adrian Peterson%\PeteAd01,,MIN,28,6,14,14,0,0,0,0,0,279,1266,10,29,171,1,0,0.0,0,AP: 2nd Tm
RB,Frank Gore%\GoreFr00,,SFO,30,8,16,16,0,0,0,0,0,276,1128,9,16,141,0,0,0.0,0,
