Pos,Player,Conf,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,All-pro teams
TE,Tony Gonzalez\GonzTo00,AFC,KAN,27,6,16,16,0,0,0,0,0,0,0,0,71,916,10,,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
,Dante Hall\HallDa00,AFC,KAN,25,3,16,2,0,0,0,0,0,16,73,0,40,423,1,0,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
RB,Priest Holmes\HolmPr00,AFC,KAN,30,6,16,16,0,1,0,0,0,320,1420,27,74,690,0,,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
WR,Torry Holt\HoltTo00,NFC,STL,27,4,16,15,0,0,0,0,0,1,5,0,117,1696,12,0,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
LG,Steve Hutchinson\HutcSt00,NFC,SEA,26,2,16,16,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
RDT,Kris Jenkins\JenkKr00,NFC,CAR,24,2,16,16,0,0,0,0,0,0,0,0,0,0,0,39,5.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
RB,Jamal Lewis\LewiJa00,AFC,BAL,24,3,16,16,0,0,0,0,0,387,2066,14,26,205,0,0,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
RILB,Ray Lewis\LewiRa00,AFC,BAL,28,7,16,16,0,0,0,0,0,0,0,0,0,0,0,121,1.5,6,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
QB,Peyton Manning\MannPe00,AFC,IND,27,5,16,16,379,566,4267,29,10,28,26,0,1,-2,0,0,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
LT,Jonathan Ogden\OgdeJo00,AFC,BAL,29,7,16,16,0,0,0,0,0,0,0,0,1,1,1,0,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
LLB,Julian Peterson\PeteJu00,NFC,SFO,25,3,16,16,0,0,0,0,0,0,0,0,0,0,0,69,7.0,2,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
RDT,Richard Seymour\SeymRi00,AFC,NWE,24,2,15,14,0,0,0,0,0,0,0,0,0,0,0,34,8.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
RG,Will Shields\ShieWi00,AFC,KAN,32,10,16,16,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
LDE,Michael Strahan\StraMi02,NFC,NYG,32,10,16,16,0,0,0,0,0,0,0,0,0,0,0,60,18.5,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
FS,Roy Williams\WillRo03,NFC,DAL,23,1,16,16,0,0,0,0,0,0,0,0,0,0,0,57,2.0,2,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
,Mike Vanderjagt\vandemik01,AFC,IND,33,5,16,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
SS,Ed Reed\ReedEd00,AFC,BAL,25,1,16,15,0,0,0,0,0,0,0,0,0,0,0,59,1.0,7,PFW: 1st Tm All-Conf. AP: 2nd Tm FW: 1st Tm SN: 1st Tm
RLB,Keith Bulluck\BullKe00,AFC,TEN,26,3,16,16,0,0,0,0,0,0,0,0,0,0,0,106,3.0,2,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm
LCB,Ty Law\LawxTy00,AFC,NWE,29,8,15,15,0,0,0,0,0,0,0,0,0,0,0,61,0.0,6,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm
LDE,Leonard Little\LittLe00,NFC,STL,29,5,12,12,0,0,0,0,0,0,0,0,0,0,0,41,12.5,1,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm
WR,Randy Moss\MossRa00,NFC,MIN,26,5,16,16,0,1,0,0,0,6,18,0,111,1632,17,0,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm
C,Tom Nalen\NaleTo00,AFC,DEN,32,9,16,16,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm
LT,Orlando Pace\PaceOr00,NFC,STL,28,6,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm SN: 1st Tm
LT,Willie Roaf\RoafWi00,AFC,KAN,33,10,16,16,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm
LCB,Chris McAlister\McAlCh00,AFC,BAL,26,4,15,15,0,0,0,0,0,0,0,0,0,0,0,33,0.0,3,AP: 1st Tm FW: 1st Tm
RCB,Jerry Azumah\AzumJe00,NFC,CHI,26,4,16,13,0,0,0,0,0,0,0,0,0,0,0,71,1.0,4,PFW: 1st Tm All-Conf. AP: 2nd Tm SN: 1st Tm
LCB,Champ Bailey\BailCh00,NFC,WAS,25,4,16,16,0,0,0,0,0,0,0,0,0,0,0,68,0.0,2,PFW: 1st Tm All-Conf. AP: 2nd Tm SN: 1st Tm
C,Matt Birk\BirkMa00,NFC,MIN,27,5,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,PFW: 1st Tm All-Conf. AP: 2nd Tm SN: 1st Tm
WR,Marvin Harrison\HarrMa00,AFC,IND,31,7,15,15,0,0,0,0,0,1,3,0,94,1272,10,0,0.0,0,PFW: 1st Tm All-Conf. AP: 2nd Tm SN: 1st Tm
,Todd Sauerbrun\SaueTo20,NFC,CAR,30,8,16,0,0,1,0,0,0,0,0,0,0,0,0,,0.0,0,PFW: 1st Tm All-Conf. AP: 2nd Tm SN: 1st Tm
LCB,Patrick Surtain\SurtPa00,AFC,MIA,27,5,15,15,0,0,0,0,0,0,0,0,0,0,0,34,0.0,7,PFW: 1st Tm All-Conf. AP: 2nd Tm SN: 1st Tm
,Alex Bannister\BannAl00,NFC,SEA,24,2,16,2,0,0,0,0,0,0,0,0,3,61,1,18,0.0,0,PFW: 1st Tm All-Conf. FW: 1st Tm
RLB,Derrick Brooks\BrooDe00,NFC,TAM,30,8,16,16,0,0,0,0,0,0,0,0,0,0,0,73,1.0,2,AP: 2nd Tm SN: 1st Tm
RDE,Simeon Rice\RiceSi00,NFC,TAM,29,7,16,16,0,0,0,0,0,0,0,0,0,0,0,45,15.0,2,AP: 2nd Tm SN: 1st Tm
MLB,Zach Thomas\ThomZa01,AFC,MIA,30,7,15,15,0,0,0,0,0,0,0,0,0,0,0,85,1.0,3,AP: 1st Tm
LLB,LaVar Arrington\ArriLa00,NFC,WAS,25,3,16,16,0,0,0,0,0,0,0,0,0,0,0,77,6.0,0,PFW: 1st Tm All-Conf. AP: 2nd Tm
LT,Alan Faneca\FaneAl00,AFC,PIT,27,5,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,PFW: 1st Tm All-Conf. AP: 2nd Tm
RDE,Dwight Freeney\FreeDw00,AFC,IND,23,1,15,13,0,0,0,0,0,0,0,0,0,0,0,29,11.0,0,PFW: 1st Tm All-Conf. AP: 2nd Tm
RDT,La'Roi Glover\GlovLa00,NFC,DAL,29,7,16,16,0,0,0,0,0,0,0,0,0,0,0,33,5.0,0,PFW: 1st Tm All-Conf. AP: 2nd Tm
WR,Chad Johnson\JohnCh01,AFC,CIN,25,2,16,14,0,0,0,0,0,0,0,0,90,1355,10,0,0.0,0,PFW: 1st Tm All-Conf. AP: 2nd Tm
RG,Marco Rivera\RiveMa01,NFC,GNB,31,6,16,16,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,PFW: 1st Tm All-Conf. AP: 2nd Tm
LDT,Marcus Stroud\StroMa01,AFC,JAX,25,2,16,16,0,0,0,0,0,0,0,0,0,0,0,48,4.5,0,PFW: 1st Tm All-Conf. AP: 2nd Tm
,Jeff Wilkins\wilkijef01,NFC,STL,31,9,16,0,0,0,0,0,0,1,7,0,0,0,0,6,0.0,0,PFW: 1st Tm All-Conf. AP: 2nd Tm
RCB,Dre' Bly\BlyxDr00,NFC,DET,26,4,14,14,0,0,0,0,0,0,0,0,0,0,0,52,1.0,6,PFW: 1st Tm All-Conf.
TE,Alge Crumpler\CrumAl00,NFC,ATL,26,2,16,16,0,0,0,0,0,0,0,0,44,552,3,0,0.0,0,PFW: 1st Tm All-Conf.
QB,Brett Favre\FavrBr00,NFC,GNB,34,12,16,16,308,471,3361,32,21,18,15,0,0,0,0,0,0.0,0,PFW: 1st Tm All-Conf.
RB,Ahman Green\GreeAh00,NFC,GNB,26,5,16,16,0,0,0,0,0,355,1883,15,50,367,5,0,0.0,0,PFW: 1st Tm All-Conf.
LT,Walter Jones\JoneWa00,NFC,SEA,29,6,16,16,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,PFW: 1st Tm All-Conf.
RB,Deuce McAllister\McAlDe00,NFC,NOR,25,2,16,16,0,2,0,0,0,351,1641,8,69,516,0,0,0.0,0,PFW: 1st Tm All-Conf.
LDE,Adewale Ogunleye\OgunAd00,AFC,MIA,26,2,16,16,0,0,0,0,0,0,0,0,0,0,0,43,15.0,0,PFW: 1st Tm All-Conf.
RLB,Takeo Spikes\SpikTa00,AFC,BUF,27,5,16,16,0,0,0,0,0,0,0,0,0,0,0,70,2.0,2,PFW: 1st Tm All-Conf.
LOLB,Adalius Thomas\ThomAd00,AFC,BAL,26,3,13,11,0,0,0,0,0,0,0,0,0,0,0,41,4.0,0,PFW: 1st Tm All-Conf.
,Craig Hentrich\hentrcra01,AFC,TEN,32,9,16,0,2,5,25,0,0,0,0,0,0,0,0,4,0.0,0,PFW: 1st Tm All-Conf.
RT,Willie Anderson\AndeWi00,AFC,CIN,28,7,16,16,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,AP: 2nd Tm
FB,Fred Beasley\BeasFr00,NFC,SFO,29,5,16,11,0,0,0,0,0,17,24,0,19,184,1,,0.0,0,AP: 2nd Tm
