Pos,Player,Conf,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,All-pro teams
RCB,Nathan Vasher\VashNa99,NFC,CHI,24,1,16,15,0,0,0,0,0,0,0,0,0,0,0,40,0.0,8,PFW: 1st Tm All-Conf. AP: 2nd Tm FW: 1st Tm
RCB,Ronde Barber\BarbRo00,NFC,TAM,30,8,16,16,0,0,0,0,0,0,0,0,0,0,0,83,2.0,5,PFW: 1st Tm All-Conf. AP: 1st Tm
RLB,Derrick Brooks\BrooDe00,NFC,TAM,32,10,16,16,0,0,0,0,0,0,0,0,0,0,0,93,3.0,1,PFW: 1st Tm All-Conf. AP: 1st Tm
FS,Bob Sanders\SandBo99,AFC,IND,24,1,14,14,0,0,0,0,0,0,0,0,0,0,0,72,0.0,1,PFW: 1st Tm All-Conf. AP: 1st Tm
C,Jeff Saturday\SatuJe55,AFC,IND,30,6,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm
,David Tyree\TyreDa00,NFC,NYG,25,2,13,0,0,0,0,0,0,0,0,0,5,52,1,13,0.0,0,PFW: 1st Tm All-Conf. FW: 1st Tm
RB,LaDainian Tomlinson\TomlLa00,AFC,SDG,26,4,16,16,3,4,47,3,0,339,1462,18,51,370,2,0,0.0,0,AP: 2nd Tm SN: 1st Tm
LOLB,Shawne Merriman\MerrSh99,AFC,SDG,21,Rook,15,10,0,0,0,0,0,0,0,0,0,0,0,43,10.0,0,SN: 1st Tm
FB,Mack Strong\StroMa00,NFC,SEA,34,11,16,6,0,0,0,0,0,17,78,0,22,166,0,,0.0,0,AP: 1st Tm
LDT,Marcus Stroud\StroMa01,AFC,JAX,27,4,16,16,0,0,0,0,0,0,0,0,0,0,0,32,1.0,0,SN: 1st Tm
LG,Brian Waters\WateBr55,AFC,KAN,28,5,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,AP: 1st Tm
,Josh Bidwell\BidwJo20,NFC,TAM,29,5,16,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,PFW: 1st Tm All-Conf. AP: 2nd Tm
SS,Mike Brown\BrowMi99,NFC,CHI,27,5,12,12,0,0,0,0,0,0,0,0,0,0,0,63,1.0,3,PFW: 1st Tm All-Conf. AP: 2nd Tm
RDE,Derrick Burgess\BurgDe99,AFC,OAK,27,4,16,12,0,0,0,0,0,0,0,0,0,0,0,52,16.0,0,PFW: 1st Tm All-Conf. AP: 2nd Tm
WR,Marvin Harrison\HarrMa00,AFC,IND,33,9,15,15,0,0,0,0,0,0,0,0,82,1146,12,0,0.0,0,PFW: 1st Tm All-Conf. AP: 2nd Tm
RDT,Tommie Harris\HarrTo99,NFC,CHI,22,1,16,16,0,0,0,0,0,0,0,0,0,0,0,29,3.0,0,PFW: 1st Tm All-Conf. AP: 2nd Tm
RB,Larry Johnson\JohnLa00,AFC,KAN,26,2,16,9,0,0,0,0,0,336,1750,20,33,343,1,0,0.0,0,PFW: 1st Tm All-Conf. AP: 2nd Tm
WR,Santana Moss\MossSa00,NFC,WAS,26,4,16,16,0,0,0,0,0,3,-3,0,84,1483,9,0,0.0,0,PFW: 1st Tm All-Conf. AP: 2nd Tm
ROLB,Joey Porter\PortJo00,AFC,PIT,28,6,16,16,0,0,0,0,0,0,0,0,0,0,0,39,10.5,2,PFW: 1st Tm All-Conf. AP: 2nd Tm
RG,Will Shields\ShieWi00,AFC,KAN,34,12,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,PFW: 1st Tm All-Conf. AP: 2nd Tm
,Shayne Graham\grahasha01,AFC,CIN,28,4,16,0,0,0,0,0,0,0,0,0,0,0,0,7,0.0,0,PFW: 1st Tm All-Conf. AP: 2nd Tm
QB,Matt Hasselbeck\HassMa00,NFC,SEA,30,6,16,16,294,449,3459,24,9,36,124,1,0,0,0,0,0.0,0,PFW: 1st Tm All-Conf.
RB,Edgerrin James\JameEd00,AFC,IND,27,6,15,15,0,0,0,0,0,360,1506,13,44,337,1,0,0.0,0,PFW: 1st Tm All-Conf.
,Hanik Milligan\MillHa99,AFC,SDG,26,1,16,0,0,0,0,0,0,0,0,0,0,0,0,14,0.0,0,PFW: 1st Tm All-Conf.
