Pos,Player,Conf,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,All-pro teams
C,Jeff Christy\ChriJe00,NFC,MIN,30,6,16,16,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,PFW: 1st Tm All-Conf. FW: 1st Tm
RDT,Trevor Pryce\PrycTr00,AFC,DEN,24,2,15,15,0,0,0,0,0,0,0,0,0,0,0,33,13.0,1,PFW: 1st Tm All-Conf. AP: 1st Tm
,Tom Tupa\TupaTo20,AFC,NYJ,33,11,16,0,6,11,165,2,0,2,8,0,0,0,0,2,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm
C,Tom Nalen\NaleTo00,AFC,DEN,28,5,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,AP: 2nd Tm SN: 1st Tm
FB,Mike Alstott\AlstMi00,NFC,TAM,26,3,16,16,0,0,0,0,0,242,949,7,27,239,2,,0.0,0,AP: 1st Tm
RG,Will Shields\ShieWi00,AFC,KAN,28,6,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,SN: 1st Tm
MLB,Zach Thomas\ThomZa01,AFC,MIA,26,3,16,16,0,0,0,0,0,0,0,0,0,0,0,85,1.0,1,AP: 1st Tm
RLB,Jessie Armstead\ArmsJe00,NFC,NYG,29,6,16,16,0,0,0,0,0,0,0,0,0,0,0,97,9.0,2,PFW: 1st Tm All-Conf. AP: 2nd Tm
LLB,Peter Boulware\BoulPe00,AFC,BAL,25,2,16,11,0,0,0,0,0,0,0,0,0,0,0,31,10.0,0,PFW: 1st Tm All-Conf. AP: 2nd Tm
RDE,Tony Brackens\BracTo00,AFC,JAX,25,3,16,15,0,0,0,0,0,0,0,0,0,0,0,55,12.0,2,PFW: 1st Tm All-Conf. AP: 2nd Tm
