Pos,Player,Conf,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,All-pro teams
QB,Cam Newton%\NewtCa00,Rice,CAR,26,4,16,16,296,495,3837,35,10,132,636,10,0,0,0,0,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
QB,Carson Palmer%\PalmCa00,Rice,ARI,36,11,16,16,342,537,4671,35,11,25,24,1,0,0,0,0,0.0,0,PFF: 1st Tm AP: 2nd Tm
QB,Tom Brady %\BradTo00,Rice,NWE,38,15,16,16,402,624,4770,36,7,34,53,3,1,36,0,0,0.0,0,PFW: 1st Tm All-Conf. PFF: 2nd Tm
QB,Teddy Bridgewater+\BridTe00,Irvin,MIN,23,1,16,16,292,447,3231,14,9,44,192,3,0,0,0,0,0.0,0,
QB,Derek Carr\CarrDe02,Rice,OAK,24,1,16,16,350,573,3987,32,13,33,138,0,0,0,0,0,0.0,0,
QB,Eli Manning +\MannEl00,Rice,NYG,34,11,16,16,387,618,4432,35,14,20,61,0,0,0,0,0,0.0,0,
QB,Aaron Rodgers %\RodgAa00,Rice,GNB,32,10,16,16,347,572,3821,31,8,58,344,1,0,0,0,0,0.0,0,
QB,Ben Roethlisberger%\RoetBe00,Rice,PIT,33,11,12,11,319,469,3938,21,16,15,29,0,0,-3,0,0,0.0,0,
QB,Tyrod Taylor +\TaylTy00,Rice,BUF,26,4,14,14,242,380,3035,20,6,104,568,4,1,4,0,0,0.0,0,
QB,Russell Wilson\WilsRu00,Irvin,SEA,27,3,16,16,329,483,4024,34,8,103,553,1,0,0,0,0,0.0,0,
QB,Jameis Winston+\WinsJa00,Irvin,TAM,21,Rook,16,16,312,535,4042,22,15,54,213,6,0,0,0,0,0.0,0,
RB,Doug Martin\MartDo00,Rice,TAM,26,3,16,16,0,0,0,0,0,288,1402,6,33,271,1,0,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm
RB,Adrian Peterson\PeteAd01,Rice,MIN,30,8,16,16,0,0,0,0,0,327,1485,11,30,222,0,0,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
RB,Chris Ivory+\IvorCh00,Rice,NYJ,27,5,15,14,0,0,0,0,0,247,1070,7,30,217,1,0,0.0,0,PFW: 1st Tm All-Conf.
RB,Latavius Murray+\MurrLa00,Irvin,OAK,25,2,16,16,0,0,0,0,0,266,1066,6,41,232,0,0,0.0,0,PFW: 1st Tm All-Conf.
RB,Devonta Freeman\FreeDe00,Irvin,ATL,23,1,15,13,0,0,0,0,0,265,1056,11,73,578,3,0,0.0,0,AP: 2nd Tm
RB,Todd Gurley\GurlTo01,Irvin,STL,21,Rook,13,12,0,0,0,0,0,229,1106,10,21,188,0,0,0.0,0,AP: 2nd Tm
RB,Jonathan Stewart%\StewJo00,Rice,CAR,28,7,13,13,0,0,0,0,0,242,989,6,16,99,1,0,0.0,0,PFF: 2nd Tm
RB,LeSean McCoy%\McCoLe01,Rice,BUF,27,6,12,12,0,0,0,0,0,203,895,3,32,292,2,0,0.0,0,
FB,Patrick DiMarco+\DiMaPa00,Irvin,ATL,26,3,16,8,0,0,0,0,0,1,0,0,13,110,2,4,0.0,0,PFF: 1st Tm AP: 2nd Tm
FB,Mike Tolbert%\TolbMi00,Rice,CAR,30,7,16,3,0,0,0,0,0,62,256,1,18,154,3,1,0.0,0,AP: 1st Tm
FB,John Kuhn+\KuhnJo00,Rice,GNB,33,9,16,6,0,0,0,0,0,9,28,2,6,56,0,2,0.0,0,
WR,Antonio Brown %\BrowAn04,Rice,PIT,27,5,16,16,0,0,0,0,0,3,28,0,136,1834,10,1,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm
WR,Julio Jones\JoneJu02,Irvin,ATL,26,4,16,16,0,0,0,0,0,0,0,0,136,1871,8,0,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm
WR,Jarvis Landry +\LandJa00,Rice,MIA,23,1,16,14,1,1,9,0,0,18,113,1,110,1157,4,0,0.0,0,PFW: 1st Tm All-Conf. PFF: 1st Tm
WR,Larry Fitzgerald%\FitzLa00,Rice,ARI,32,11,16,16,0,0,0,0,0,0,0,0,109,1215,9,0,0.0,0,PFF: 1st Tm
WR,DeAndre Hopkins\HopkDe00,Irvin,HOU,23,2,16,16,0,0,0,0,0,0,0,0,111,1521,11,0,0.0,0,PFW: 1st Tm All-Conf. AP: 2nd Tm PFF: 2nd Tm
WR,Odell Beckham Jr.\BeckOd00,Rice,NYG,23,1,15,15,0,0,0,0,0,1,3,0,96,1450,13,0,0.0,0,PFW: 1st Tm All-Conf. AP: 2nd Tm
WR,Matthew Slater%\SlatMa00,Rice,NWE,30,7,16,0,0,0,0,0,0,0,0,0,0,0,0,14,0.0,0,PFW: 1st Tm All-Conf.
WR,A.J. Green\GreeA.00,Irvin,CIN,27,4,16,16,0,0,0,0,0,0,0,0,86,1297,10,0,0.0,0,PFF: 2nd Tm
