Pos,Player,Conf,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,All-pro teams
LG,Larry Allen\AlleLa00,NFC,DAL,29,6,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
RLB,Derrick Brooks\BrooDe00,NFC,TAM,27,5,16,16,0,0,0,0,0,0,0,0,0,0,0,123,1.0,1,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
RDE,Hugh Douglas\DougHu00,NFC,PHI,29,5,16,15,0,0,0,0,0,0,0,0,0,0,0,44,15.0,1,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
RB,Marshall Faulk\FaulMa00,NFC,STL,27,6,14,14,0,0,0,0,0,253,1359,18,81,830,8,0,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
QB,Rich Gannon\GannRi00,AFC,OAK,35,13,16,16,284,473,3430,28,11,89,529,4,0,0,0,0,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
RDT,La'Roi Glover\GlovLa00,NFC,NOR,26,4,16,16,0,0,0,0,0,0,0,0,0,0,0,53,17.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
TE,Tony Gonzalez\GonzTo00,AFC,KAN,24,3,16,16,0,0,0,0,0,0,0,0,93,1203,9,0,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
MLB,Ray Lewis\LewiRa00,AFC,BAL,25,4,16,16,0,0,0,0,0,0,0,0,0,0,0,108,3.0,2,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
SS,John Lynch\LyncJo00,NFC,TAM,29,7,16,16,0,0,0,0,0,0,0,0,0,0,0,56,1.0,3,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
RCB,Sam Madison\MadiSa00,AFC,MIA,26,3,16,16,0,0,0,0,0,0,0,0,0,0,0,29,0.0,5,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
WR,Derrick Mason\MasoDe00,AFC,TEN,26,3,16,10,0,0,0,0,0,1,1,0,63,895,5,,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
LG,Bruce Matthews\MattBr00,AFC,TEN,39,17,16,16,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
WR,Randy Moss\MossRa00,NFC,MIN,23,2,16,16,0,0,0,0,0,3,5,0,77,1437,15,0,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
LT,Jonathan Ogden\OgdeJo00,AFC,BAL,26,4,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
RCB,Samari Rolle\RollSa00,AFC,TEN,24,2,15,15,0,0,0,0,0,0,0,0,0,0,0,35,1.5,7,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
RDT,Warren Sapp\SappWa00,NFC,TAM,28,5,16,15,0,0,0,0,0,0,0,0,0,0,0,43,16.5,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
RLB,Junior Seau\SeauJu00,AFC,SDG,31,10,16,16,0,0,0,0,0,0,0,0,0,0,0,103,3.5,2,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
FS,Darren Sharper\SharDa00,NFC,GNB,25,3,16,16,0,0,0,0,0,0,0,0,0,0,0,72,1.0,9,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
RDE,Jason Taylor\TaylJa03,AFC,MIA,26,3,16,16,0,0,0,0,0,0,0,0,0,0,0,35,14.5,1,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
,Matt Stover\stovemat01,AFC,BAL,32,9,16,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
WR,Marvin Harrison\HarrMa00,AFC,IND,28,4,16,16,0,0,0,0,0,0,0,0,102,1413,14,0,0.0,0,PFW: 1st Tm All-Conf. AP: 2nd Tm FW: 1st Tm SN: 1st Tm
RB,Eddie George\GeorEd00,AFC,TEN,27,4,16,16,0,0,0,0,0,403,1509,14,50,453,2,0,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm
C,Tom Nalen\NaleTo00,AFC,DEN,29,6,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm SN: 1st Tm
RB,Edgerrin James\JameEd00,AFC,IND,22,1,16,16,0,0,0,0,0,387,1709,13,63,594,5,0,0.0,0,PFW: 1st Tm All-Conf. AP: 2nd Tm SN: 1st Tm
LT,Orlando Pace\PaceOr00,NFC,STL,25,3,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,PFW: 1st Tm All-Conf. AP: 2nd Tm SN: 1st Tm
LT,Willie Roaf\RoafWi00,NFC,NOR,30,7,16,16,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,PFW: 1st Tm All-Conf. AP: 2nd Tm FW: 1st Tm
,Michael Bates\BateMi00,NFC,CAR,31,7,16,0,0,0,0,0,0,5,13,0,5,38,0,11,0.0,0,PFW: 1st Tm All-Conf. FW: 1st Tm
,Darren Bennett\BennDa20,AFC,SDG,35,5,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,PFW: 1st Tm All-Conf. FW: 1st Tm
WR,Terrell Owens\OwenTe00,NFC,SFO,27,4,14,13,0,0,0,0,0,3,11,0,97,1451,13,0,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm
MLB,Jeremiah Trotter\TrotJe00,NFC,PHI,23,2,16,16,0,0,0,0,0,0,0,0,0,0,0,99,3.0,1,PFW: 1st Tm All-Conf. AP: 1st Tm
C,Kevin Mawae\MawaKe00,AFC,NYJ,29,6,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,AP: 2nd Tm FW: 1st Tm
LDT,Sam Adams\AdamSa00,AFC,BAL,27,6,16,16,0,0,0,0,0,0,0,0,0,0,0,23,2.0,0,PFW: 1st Tm All-Conf. AP: 2nd Tm
,Trace Armstrong\ArmsTr00,AFC,MIA,35,11,16,0,0,0,0,0,0,0,0,0,0,0,0,24,16.5,0,PFW: 1st Tm All-Conf. AP: 2nd Tm
LCB,Champ Bailey\BailCh00,NFC,WAS,22,1,16,16,0,0,0,0,0,1,7,1,3,78,0,56,0.0,5,PFW: 1st Tm All-Conf. AP: 2nd Tm
TE,Chad Lewis\LewiCh00,NFC,PHI,29,3,16,16,0,0,0,0,0,0,0,0,69,735,3,0,0.0,0,PFW: 1st Tm All-Conf. AP: 2nd Tm
LOLB,Mo Lewis\LewiMo00,AFC,NYJ,31,9,16,16,0,0,0,0,0,1,3,0,0,0,0,65,10.0,1,PFW: 1st Tm All-Conf. AP: 2nd Tm
RB,Robert Smith\SmitRo00,NFC,MIN,28,7,16,16,0,0,0,0,0,295,1521,7,36,348,3,,0.0,0,PFW: 1st Tm All-Conf. AP: 2nd Tm
WR,Rod Smith\SmitRo01,AFC,DEN,30,5,16,16,0,0,0,0,0,6,99,1,100,1602,8,0,0.0,0,PFW: 1st Tm All-Conf. AP: 2nd Tm
LG,Steve Wisniewski\WisnSt00,AFC,OAK,33,11,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,PFW: 1st Tm All-Conf. AP: 2nd Tm
FS,Rod Woodson\WoodRo01,AFC,BAL,35,13,16,16,0,0,0,0,0,0,0,0,0,0,0,67,0.0,4,PFW: 1st Tm All-Conf. AP: 2nd Tm
,Martin Gramatica\gramamar01,NFC,TAM,25,1,16,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0,PFW: 1st Tm All-Conf. AP: 2nd Tm
C,Matt Birk\BirkMa00,NFC,MIN,24,2,16,16,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,PFW: 1st Tm All-Conf.
QB,Daunte Culpepper\CulpDa00,NFC,MIN,23,1,16,16,297,474,3937,33,16,89,470,7,0,0,0,0,0.0,0,PFW: 1st Tm All-Conf.
LT,Brad Hopkins\HopkBr00,AFC,TEN,30,7,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,PFW: 1st Tm All-Conf.
,Desmond Howard\HowaDe00,NFC,DET,30,8,15,0,0,0,0,0,0,0,0,0,2,14,0,,0.0,0,PFW: 1st Tm All-Conf.
,Larry Izzo\IzzoLa00,AFC,MIA,26,4,16,0,0,0,0,0,0,1,39,0,0,0,0,17,0.0,0,PFW: 1st Tm All-Conf.
RDE,Joe Johnson\JohnJo04,NFC,NOR,28,6,16,15,0,0,0,0,0,0,0,0,0,0,0,38,12.0,0,PFW: 1st Tm All-Conf.
FS,Brock Marion\MariBr00,AFC,MIA,30,7,16,16,0,0,0,0,0,0,0,0,0,0,0,72,0.0,5,PFW: 1st Tm All-Conf.
LLB,Keith Mitchell\MitcKe00,NFC,NOR,26,3,16,14,0,0,0,0,0,0,0,0,0,0,0,59,6.5,1,PFW: 1st Tm All-Conf.
,Scott Player\PlaySc20,NFC,ARI,31,2,16,0,0,0,0,0,0,1,-11,0,0,0,0,1,0.0,0,PFW: 1st Tm All-Conf.
RDT,Trevor Pryce\PrycTr00,AFC,DEN,25,3,16,16,0,0,0,0,0,0,0,0,0,0,0,33,12.0,0,PFW: 1st Tm All-Conf.
RG,Ron Stone\StonRo00,NFC,NYG,29,6,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,PFW: 1st Tm All-Conf.
LCB,Troy Vincent\VincTr00,NFC,PHI,30,8,16,16,0,0,0,0,0,0,0,0,0,0,0,64,1.0,5,PFW: 1st Tm All-Conf.
RLB,Jessie Armstead\ArmsJe00,NFC,NYG,30,7,16,16,0,0,0,0,0,0,0,0,0,0,0,76,5.0,1,AP: 2nd Tm
SS,Blaine Bishop\BishBl00,AFC,TEN,30,7,16,16,0,0,0,0,0,0,0,0,0,0,0,57,2.5,0,AP: 2nd Tm
MLB,Stephen Boyd\BoydSt00,NFC,DET,28,5,15,15,0,0,0,0,0,0,0,0,0,0,0,77,0.5,1,AP: 2nd Tm
LG,Ruben Brown\BrowRu00,AFC,BUF,28,5,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,AP: 2nd Tm
RILB,Sam Cowart\CowaSa00,AFC,BUF,25,2,12,12,0,0,0,0,0,0,0,0,0,0,0,88,5.5,2,AP: 2nd Tm
QB,Peyton Manning\MannPe00,AFC,IND,24,2,16,16,357,571,4413,33,15,37,116,1,0,0,0,,0.0,0,AP: 2nd Tm
LCB,Charles Woodson\WoodCh00,AFC,OAK,24,2,16,16,0,0,0,0,0,0,0,0,1,8,0,66,0.0,4,AP: 2nd Tm
TE,Frank Wycheck\WychFr00,AFC,TEN,29,7,16,16,2,2,53,1,0,0,0,0,70,636,4,0,0.0,0,AP: 2nd Tm
LCB,Donnie Abraham\AbraDo00,NFC,TAM,27,4,16,16,0,0,0,0,0,0,0,0,0,0,0,46,0.0,7,
TE,Stephen Alexander\AlexSt00,NFC,WAS,25,2,16,16,0,0,0,0,0,0,0,0,47,510,2,0,0.0,0,
FB,Mike Alstott\AlstMi00,NFC,TAM,27,4,13,13,0,1,0,0,0,131,465,5,13,93,0,0,0.0,0,
FB,Richie Anderson\AndeRi00,AFC,NYJ,29,7,16,10,0,0,0,0,0,27,63,0,88,853,2,0,0.0,0,
LT,Tony Boselli\BoseTo00,AFC,JAX,28,5,16,16,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,
WR,Isaac Bruce\BrucIs00,NFC,STL,28,6,16,16,0,0,0,0,0,1,11,0,87,1471,9,0,0.0,0,
WR,Cris Carter\CartCr00,NFC,MIN,35,13,16,16,0,0,0,0,0,0,0,0,96,1274,9,0,0.0,0,
C,Jeff Christy\ChriJe00,NFC,TAM,31,7,16,16,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,
LDE,Marco Coleman\ColeMa00,NFC,WAS,31,8,16,16,0,0,0,0,0,0,0,0,0,0,0,41,12.0,0,
RB,Stephen Davis\DaviSt00,NFC,WAS,26,4,15,15,0,0,0,0,0,332,1318,11,33,313,0,0,0.0,0,
RB,Corey Dillon\DillCo00,AFC,CIN,26,3,16,16,0,0,0,0,0,315,1435,7,18,158,0,0,0.0,0,
RB,Warrick Dunn\DunnWa00,NFC,TAM,25,3,16,14,0,0,0,0,0,248,1133,8,44,422,1,0,0.0,0,
RDT,Luther Elliss\ElliLu00,NFC,DET,27,5,16,16,0,0,0,0,0,0,0,0,0,0,0,23,3.0,0,
RLB,Mark Fields\FielMa99,NFC,NOR,28,5,16,14,0,0,0,0,0,0,0,0,0,0,0,63,2.0,0,
QB,Jeff Garcia\GarcJe00,NFC,SFO,30,1,16,16,355,561,4278,31,10,72,414,4,0,0,0,0,0.0,0,
RB,Charlie Garner\GarnCh00,NFC,SFO,28,6,16,15,0,0,0,0,0,258,1142,7,68,647,3,0,0.0,0,
LOLB,Jason Gildon\GildJa00,AFC,PIT,28,6,16,16,0,0,0,0,0,0,0,0,0,0,0,58,13.5,0,
QB,Elvis Grbac\GrbaEl00,AFC,KAN,30,6,15,15,326,547,4169,28,14,30,110,1,0,0,0,0,0.0,0,
QB,Brian Griese\GrieBr00,AFC,DEN,25,2,10,10,216,336,2688,19,4,29,102,1,0,0,0,,0.0,0,
SS,Robert Griffith\GrifRo00,NFC,MIN,30,6,16,16,0,0,0,0,0,0,0,0,0,0,0,75,1.0,1,
WR,Torry Holt\HoltTo00,NFC,STL,24,1,16,15,0,0,0,0,0,2,7,0,82,1635,6,0,0.0,0,
WR,Joe Horn\HornJo00,NFC,NOR,28,4,16,16,0,0,0,0,0,6,10,0,94,1340,8,0,0.0,0,
LDE,Jevon Kearse\KearJe00,AFC,TEN,24,1,16,16,0,0,0,0,0,0,0,0,0,0,0,37,11.5,0,
RT,Lincoln Kennedy\KennLi00,AFC,OAK,29,7,16,16,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,
LG,Randall McDaniel\McDaRa00,NFC,TAM,36,12,16,16,0,0,0,0,0,0,0,0,1,2,1,,0.0,0,
QB,Donovan McNabb\McNaDo00,NFC,PHI,24,1,16,16,330,569,3365,21,13,86,629,6,2,5,0,0,0.0,0,
QB,Steve McNair\McNaSt00,AFC,TEN,27,5,16,15,248,396,2847,15,13,72,403,0,0,0,0,0,0.0,0,
WR,Eric Moulds\MoulEr00,AFC,BUF,27,4,16,16,0,0,0,0,0,2,24,0,94,1326,5,0,0.0,0,
C,Tim Ruddy\RuddTi20,AFC,MIA,28,6,16,16,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,
RG,Will Shields\ShieWi00,AFC,KAN,29,7,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
WR,Jimmy Smith\SmitJi00,AFC,JAX,31,8,15,14,0,0,0,0,0,0,0,0,91,1213,8,0,0.0,0,
RT,Korey Stringer\StriKo00,NFC,MIN,26,5,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
MLB,Zach Thomas\ThomZa01,AFC,MIA,27,4,11,11,0,0,0,0,0,0,0,0,0,0,0,56,1.5,1,
MLB,Brian Urlacher\UrlaBr00,NFC,CHI,22,Rook,16,14,0,0,0,0,0,0,0,0,0,0,0,98,8.0,2,
QB,Kurt Warner\WarnKu00,NFC,STL,29,2,11,11,235,347,3429,21,18,18,17,0,0,0,0,,0.0,0,
NT,Ted Washington\WashTe01,AFC,BUF,32,9,16,16,0,0,0,0,0,0,0,0,0,0,0,37,2.5,0,
