Pos,Player,Conf,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,All-pro teams
RDE,John Abraham\AbraJo00,AFC,NYJ,23,1,16,15,0,0,0,0,0,0,0,0,0,0,0,57,13.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
LG,Larry Allen\AlleLa00,NFC,DAL,30,7,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
WR,David Boston\BostDa00,NFC,ARI,23,2,16,15,0,0,0,0,0,5,35,0,98,1598,8,0,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
FS,Brian Dawkins\DawkBr00,NFC,PHI,28,5,15,15,0,0,0,0,0,0,0,0,0,0,0,58,1.5,2,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
LG,Alan Faneca\FaneAl00,AFC,PIT,25,3,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
RB,Marshall Faulk\FaulMa00,NFC,STL,28,7,14,14,0,1,0,0,0,260,1382,12,83,765,9,0,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
TE,Tony Gonzalez\GonzTo00,AFC,KAN,25,4,16,16,1,1,40,0,0,1,9,0,73,917,6,0,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
C,Kevin Mawae\MawaKe00,AFC,NYJ,30,7,16,16,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
LLB,Jamir Miller\MillJa01,AFC,CLE,28,7,16,16,0,0,0,0,0,0,0,0,0,0,0,83,13.0,1,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
WR,Terrell Owens\OwenTe00,NFC,SFO,28,5,16,16,0,0,0,0,0,4,21,0,93,1412,16,0,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
LT,Orlando Pace\PaceOr00,NFC,STL,26,4,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
RDT,Warren Sapp\SappWa00,NFC,TAM,29,6,16,16,0,0,0,0,0,0,0,0,0,0,0,28,6.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
,Todd Sauerbrun\SaueTo20,NFC,CAR,28,6,16,0,0,0,0,0,0,1,0,0,0,0,0,3,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
,Steve Smith\SmitSt01,NFC,CAR,22,Rook,15,1,0,0,0,0,0,4,43,0,10,154,0,0,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
LDE,Michael Strahan\StraMi02,NFC,NYG,30,8,16,16,0,0,0,0,0,0,0,0,0,0,0,61,22.5,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
MLB,Brian Urlacher\UrlaBr00,NFC,CHI,23,1,16,16,0,0,0,0,0,0,0,0,1,27,1,91,6.0,3,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
QB,Kurt Warner\WarnKu00,NFC,STL,30,3,16,16,375,546,4830,36,22,28,60,0,0,0,0,0,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
LCB,Aeneas Williams\WillAe00,NFC,STL,33,10,16,16,0,0,0,0,0,0,0,0,0,0,0,56,0.0,4,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
,David Akers\akersdav01,NFC,PHI,27,3,16,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
RB,Curtis Martin\MartCu00,AFC,NYJ,28,6,16,16,1,1,18,1,0,333,1513,10,53,320,0,0,0.0,0,PFW: 1st Tm All-Conf. AP: 2nd Tm FW: 1st Tm SN: 1st Tm
LT,Jonathan Ogden\OgdeJo00,AFC,BAL,27,5,16,16,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,PFW: 1st Tm All-Conf. AP: 2nd Tm FW: 1st Tm SN: 1st Tm
LOLB,Jason Gildon\GildJa00,AFC,PIT,29,7,16,16,0,0,0,0,0,0,0,0,0,0,0,43,12.0,1,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm
MLB,Ray Lewis\LewiRa00,AFC,BAL,26,5,16,16,0,0,0,0,0,0,0,0,0,0,0,114,3.5,3,PFW: 1st Tm All-Conf. AP: 1st Tm SN: 1st Tm
