Pos,Player,Conf,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,All-pro teams
LCB,Champ Bailey\BailCh00,AFC,DEN,26,5,16,16,0,0,0,0,0,0,0,0,1,11,0,68,0.0,3,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
FS,Brian Dawkins\DawkBr00,NFC,PHI,31,8,15,15,0,0,0,0,0,0,0,0,0,0,0,62,3.0,4,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
,Eddie Drummond\DrumEd00,NFC,DET,24,2,11,1,0,0,0,0,0,1,9,0,0,0,0,3,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
LG,Alan Faneca\FaneAl00,AFC,PIT,28,6,16,16,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
LILB,James Farrior\FarrJa99,AFC,PIT,29,7,16,16,0,0,0,0,0,0,0,0,0,0,0,67,3.0,4,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
RDE,Dwight Freeney\FreeDw00,AFC,IND,24,2,16,16,0,0,0,0,0,0,0,0,0,0,0,33,16.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
TE,Antonio Gates\GateAn00,AFC,SDG,24,1,15,15,0,0,0,0,0,0,0,0,81,964,13,0,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
LT,Walter Jones\JoneWa00,NFC,SEA,30,7,16,16,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
,Shane Lechler\LechSh20,AFC,OAK,28,4,16,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
QB,Peyton Manning\MannPe00,AFC,IND,28,6,16,16,336,497,4557,49,10,25,38,0,0,0,0,0,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
RB,Curtis Martin\MartCu00,AFC,NYJ,31,9,16,16,0,0,0,0,0,371,1697,12,41,245,2,0,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
WR,Terrell Owens\OwenTe00,NFC,PHI,31,8,14,14,0,0,0,0,0,3,-5,0,77,1200,14,0,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
LDE,Julius Peppers\PeppJu99,NFC,CAR,24,2,16,16,0,0,0,0,0,0,0,0,0,0,0,53,11.0,2,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
SS,Ed Reed\ReedEd00,AFC,BAL,26,2,16,16,0,0,0,0,0,0,0,0,0,0,0,64,2.0,9,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
