Pos,Player,Conf,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,All-pro teams
RLB,Derrick Brooks\BrooDe00,NFC,TAM,29,7,16,16,0,0,0,0,0,0,0,0,0,0,0,88,1.0,5,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
FS,Brian Dawkins\DawkBr00,NFC,PHI,29,6,16,16,0,0,0,0,0,0,0,0,1,57,1,66,3.0,2,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
LG,Alan Faneca\FaneAl00,AFC,PIT,26,4,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
QB,Rich Gannon\GannRi00,AFC,OAK,37,15,16,16,418,618,4689,26,10,50,156,3,0,0,0,0,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
WR,Marvin Harrison\HarrMa00,AFC,IND,30,6,16,16,0,0,0,0,0,2,10,0,143,1722,11,,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
RB,Priest Holmes\HolmPr00,AFC,KAN,29,5,14,14,0,1,0,0,0,313,1615,21,70,672,3,,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
,Michael Lewis\LewiMi00,NFC,NOR,31,1,16,0,0,0,0,0,0,1,15,0,8,200,0,12,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
LT,Jonathan Ogden\OgdeJo00,AFC,BAL,28,6,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
WR,Terrell Owens\OwenTe00,NFC,SFO,29,6,14,14,0,0,0,0,0,7,79,1,100,1300,13,,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
ROLB,Joey Porter\PortJo00,AFC,PIT,25,3,16,16,0,0,0,0,0,0,0,0,0,0,0,61,9.0,4,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
RDE,Simeon Rice\RiceSi00,NFC,TAM,28,6,16,16,0,0,0,0,0,0,0,0,0,0,0,41,15.5,1,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
RDT,Warren Sapp\SappWa00,NFC,TAM,30,7,16,16,0,0,0,0,0,0,0,0,0,0,0,43,7.5,2,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
,Todd Sauerbrun\SaueTo20,NFC,CAR,29,7,16,0,0,0,0,0,0,0,0,0,0,0,0,6,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
RG,Will Shields\ShieWi00,AFC,KAN,31,9,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
