Pos,Player,Conf,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,All-pro teams
,Devin Hester\HestDe99,NFC,CHI,25,1,16,0,0,0,0,0,0,7,-10,0,20,299,2,0,0.0,0,PFW: 1st Tm All-Conf. PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
RDE,Jared Allen\AlleJa22,AFC,KAN,25,3,14,14,0,0,0,0,0,0,0,0,2,3,2,56,15.5,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
QB,Tom Brady\BradTo00,AFC,NWE,30,7,16,16,398,578,4806,50,8,37,98,2,0,0,0,0,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
RDT,Albert Haynesworth\HaynAl20,AFC,TEN,26,5,13,12,0,0,0,0,0,0,0,0,0,0,0,32,6.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
LG,Steve Hutchinson\HutcSt00,NFC,MIN,30,6,16,16,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
LT,Walter Jones\JoneWa00,NFC,SEA,33,10,15,15,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
WR,Randy Moss\MossRa00,AFC,NWE,30,9,16,16,0,0,0,0,0,0,0,0,98,1493,23,0,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
FS,Ed Reed\ReedEd00,AFC,BAL,29,5,16,16,0,0,0,0,0,0,0,0,0,0,0,29,0.0,7,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
LCB,Asante Samuel\SamuAs20,AFC,NWE,26,4,16,14,0,0,0,0,0,0,0,0,0,0,0,43,0.0,6,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
SS,Bob Sanders\SandBo99,AFC,IND,26,3,15,15,0,0,0,0,0,0,0,0,0,0,0,72,3.5,2,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
RB,LaDainian Tomlinson\TomlLa00,AFC,SDG,28,6,16,16,1,1,17,1,0,315,1474,15,60,475,3,0,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
ROLB,DeMarcus Ware\WareDe99,NFC,DAL,25,2,16,16,0,0,0,0,0,0,0,0,0,0,0,60,14.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
RDT,Kevin Williams\WillKe98,NFC,MIN,27,4,16,16,0,0,0,0,0,0,0,0,0,0,0,30,3.0,2,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
RILB,Patrick Willis\WillPa98,NFC,SFO,22,Rook,16,16,0,0,0,0,0,0,0,0,0,0,0,136,4.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
TE,Jason Witten\WittJa00,NFC,DAL,25,4,16,16,0,0,0,0,0,0,0,0,96,1145,7,0,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
,Rob Bironas\bironrob01,AFC,TEN,29,2,16,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
,Josh Cribbs\CribJo01,AFC,CLE,24,2,16,2,0,0,0,0,0,9,61,0,3,37,0,17,0.0,0,PFW: 1st Tm All-Conf. AP: 2nd Tm FW: 1st Tm SN: 1st Tm
LG,Logan Mankins\MankLo20,AFC,NWE,25,2,16,16,0,0,0,0,0,0,0,0,1,-9,0,,0.0,0,PFW: 1st Tm All-Conf. AP: 2nd Tm FW: 1st Tm SN: 1st Tm
RCB,Antonio Cromartie\CromAn20,AFC,SDG,23,1,16,8,0,0,0,0,0,0,0,0,0,0,0,39,0.0,10,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm
LDE,Patrick Kerney\KernPa99,NFC,SEA,31,8,16,16,0,0,0,0,0,0,0,0,0,0,0,51,14.5,1,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm
,Andy Lee\LeexAn20,NFC,SFO,25,3,16,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm
LT,Matt Light\LighMa20,AFC,NWE,29,6,16,16,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm
WR,Terrell Owens\OwenTe00,NFC,DAL,34,11,15,15,0,0,0,0,0,1,5,0,81,1355,15,0,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm
C,Jeff Saturday\SatuJe55,AFC,IND,32,8,16,16,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm
LOLB,Mike Vrabel\VrabMi20,AFC,NWE,32,10,16,15,0,0,0,0,0,0,0,0,2,3,2,56,12.5,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm
RB,Brian Westbrook\WestBr00,NFC,PHI,28,5,15,15,0,0,0,0,0,278,1333,7,90,771,5,0,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm
,Shane Lechler\LechSh20,AFC,OAK,31,7,16,0,0,0,0,0,0,1,-4,0,0,0,0,1,0.0,0,PFW: 1st Tm All-Conf. AP: 2nd Tm SN: 1st Tm
LT,Jason Peters\PeteJa21,AFC,BUF,25,3,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,PFW: 1st Tm All-Conf. AP: 2nd Tm SN: 1st Tm
MLB,DeMeco Ryans\RyanDe20,AFC,HOU,23,1,16,16,0,0,0,0,0,0,0,0,0,0,0,98,2.0,1,PFW: 1st Tm All-Conf. AP: 2nd Tm SN: 1st Tm
LG,Alan Faneca\FaneAl00,AFC,PIT,31,9,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm
,Kassim Osgood\OsgoKa00,AFC,SDG,27,4,16,0,0,0,0,0,0,0,0,0,2,23,0,12,0.0,0,PFW: 1st Tm All-Conf. FW: 1st Tm
LCB,Marcus Trufant\TrufMa20,NFC,SEA,27,4,16,16,0,0,0,0,0,0,0,0,0,0,0,78,0.0,7,PFW: 1st Tm All-Conf. SN: 1st Tm
WR,Braylon Edwards\EdwaBr00,AFC,CLE,24,2,16,16,0,0,0,0,0,0,0,0,80,1289,16,0,0.0,0,SN: 1st Tm AP: 2nd Tm
RB,Adrian Peterson\PeteAd01,NFC,MIN,22,Rook,14,9,0,0,0,0,0,238,1341,12,19,268,1,0,0.0,0,AP: 2nd Tm SN: 1st Tm
C,Andre Gurode\GuroAn20,NFC,DAL,29,5,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,SN: 1st Tm
