Pos,Player,Conf,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,All-pro teams
QB,Aaron Rodgers %\RodgAa00,,GNB,31,9,16,16,341,520,4381,38,5,43,269,2,0,0,0,0,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm
QB,Tom Brady %\BradTo00,,NWE,37,14,16,16,373,582,4109,33,9,36,57,0,0,0,0,0,0.0,0,PFW: 1st Tm All-Conf.
QB,Ben Roethlisberger%\RoetBe00,,PIT,32,10,16,16,408,608,4952,32,9,33,27,0,0,-6,0,0,0.0,0,PFF: 2nd Tm
QB,Tony Romo\RomoTo00,Irvin,DAL,34,10,15,15,304,435,3705,34,9,26,61,0,0,0,0,0,0.0,0,AP: 2nd Tm
QB,Drew Brees+\BreeDr00,Carter,NOR,35,13,16,16,456,659,4952,33,17,27,68,1,1,1,0,0,0.0,0,
QB,Andy Dalton+\DaltAn00,Carter,CIN,27,3,16,16,309,481,3398,19,17,60,169,4,1,18,1,0,0.0,0,
QB,Andrew Luck\LuckAn00,Carter,IND,25,2,16,16,380,616,4761,40,16,64,273,3,0,0,0,0,0.0,0,
QB,Peyton Manning %\MannPe00,,DEN,38,16,16,16,395,597,4727,39,15,24,-24,0,0,0,0,0,0.0,0,
QB,Matt Ryan+\RyanMa00,Irvin,ATL,29,6,16,16,415,628,4694,28,14,29,145,0,0,0,0,0,0.0,0,
QB,Matthew Stafford+\StafMa00,Irvin,DET,26,5,16,16,363,602,4257,22,12,43,93,2,0,0,0,0,0.0,0,
RB,Le'Veon Bell%\BellLe00,,PIT,22,1,16,16,0,0,0,0,0,290,1361,8,83,854,3,0,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm
RB,Darren Sproles\SproDa00,Irvin,PHI,31,9,15,0,0,0,0,0,0,57,329,6,40,387,0,0,0.0,0,PFW: 1st Tm All-Conf. AP: 2nd Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm
RB,DeMarco Murray\MurrDe00,Irvin,DAL,26,3,16,16,0,0,0,0,0,392,1845,13,57,416,0,0,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm
RB,Marshawn Lynch %\LyncMa00,,SEA,28,7,16,14,0,0,0,0,0,280,1306,13,37,367,4,0,0.0,0,PFW: 1st Tm All-Conf. AP: 2nd Tm PFF: 2nd Tm
RB,Justin Forsett+\ForsJu00,Carter,BAL,29,6,16,14,0,0,0,0,0,235,1266,8,44,263,0,0,0.0,0,PFW: 1st Tm All-Conf.
RB,C.J. Anderson+\AndeC.00,Irvin,DEN,23,1,15,7,0,0,0,0,0,179,849,8,34,324,2,0,0.0,0,
RB,Jamaal Charles\CharJa00,Carter,KAN,28,6,15,15,0,0,0,0,0,206,1033,9,40,291,5,1,0.0,0,
RB,Arian Foster %\FostAr00,,HOU,28,5,13,13,1,1,5,1,0,260,1246,8,38,327,5,0,0.0,0,
RB,Mark Ingram\IngrMa01,Irvin,NOR,25,3,13,9,0,0,0,0,0,226,964,9,29,145,0,0,0.0,0,
RB,LeSean McCoy%\McCoLe01,,PHI,26,5,16,16,0,0,0,0,0,312,1319,5,28,155,0,0,0.0,0,
RB,Alfred Morris +\MorrAl00,Carter,WAS,26,2,16,16,0,0,0,0,0,265,1074,8,17,155,0,0,0.0,0,
FB,John Kuhn\KuhnJo00,Carter,GNB,32,8,16,2,0,0,0,0,0,24,85,1,4,23,0,1,0.0,0,AP: 1st Tm
FB,Marcel Reece\ReecMa00,Irvin,OAK,29,6,15,15,0,0,0,0,0,21,85,0,37,265,1,4,0.0,0,
WR,Antonio Brown\BrowAn04,Carter,PIT,26,4,16,16,2,2,20,1,0,4,13,0,129,1698,13,1,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm
WR,Dez Bryant%\BryaDe01,,DAL,26,4,16,16,0,0,0,0,0,0,0,0,88,1320,16,0,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 2nd Tm
WR,Matthew Slater%\SlatMa00,,NWE,29,6,16,0,0,0,0,0,0,0,0,0,0,0,0,13,0.0,0,PFW: 1st Tm All-Conf. FW: 1st Tm PFF: 1st Tm
WR,Jordy Nelson\NelsJo00,Carter,GNB,29,6,16,16,0,0,0,0,0,0,0,0,98,1519,13,1,0.0,0,PFW: 1st Tm All-Conf. AP: 2nd Tm PFF: 2nd Tm SN: 1st Tm
WR,Odell Beckham Jr.+\BeckOd00,Irvin,NYG,22,Rook,12,11,0,1,0,0,0,7,35,0,91,1305,12,1,0.0,0,PFF: 1st Tm
WR,Julio Jones %\JoneJu02,,ATL,25,3,15,15,0,0,0,0,0,1,1,0,104,1593,6,0,0.0,0,SN: 1st Tm
WR,Emmanuel Sanders +\SandEm00,Irvin,DEN,27,4,16,16,0,0,0,0,0,8,44,0,101,1404,9,0,0.0,0,PFF: 1st Tm
WR,Demaryius Thomas%\ThomDe03,,DEN,27,4,16,16,0,0,0,0,0,0,0,0,111,1619,11,0,0.0,0,PFW: 1st Tm All-Conf. AP: 2nd Tm
WR,Devin Hester\HestDe99,Carter,ATL,32,8,16,1,0,0,0,0,0,6,36,1,38,504,2,0,0.0,0,PFW: 1st Tm All-Conf.
WR,Randall Cobb+\CobbRa00,Irvin,GNB,24,3,16,16,0,0,0,0,0,11,37,0,91,1287,12,0,0.0,0,PFF: 2nd Tm
WR,A.J. Green\GreeA.00,Carter,CIN,26,3,13,13,0,0,0,0,0,2,2,0,69,1041,6,0,0.0,0,
WR,T.Y. Hilton\HiltT.00,Carter,IND,25,2,15,15,0,0,0,0,0,2,20,0,82,1345,7,0,0.0,0,
WR,Calvin Johnson %\JohnCa00,,DET,29,7,13,13,0,0,0,0,0,0,0,0,71,1077,8,0,0.0,0,
WR,Golden Tate+\TateGo00,Irvin,DET,26,4,16,16,0,0,0,0,0,5,30,0,99,1331,4,0,0.0,0,
TE,Rob Gronkowski %\GronRo00,,NWE,25,4,15,10,0,0,0,0,0,0,0,0,82,1124,12,0,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm
