Pos,Player,Conf,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,All-pro teams
QB,Josh Allen\AlleJo02,AFC,BUF,24,2,15,15,378,547,4320,34,9,100,418,8,1,12,1,0,0.0,0,
QB,Patrick Mahomes\MahoPa00,AFC,KAN,25,3,15,15,390,588,4740,38,6,62,308,2,0,0,0,0,0.0,0,
QB,Kyler Murray\MurrKy00,NFC,ARI,23,1,15,15,367,547,3884,26,12,131,816,11,0,0,0,0,0.0,0,
QB,Aaron Rodgers\RodgAa00,NFC,GNB,37,15,15,15,353,502,4059,44,5,37,145,3,1,-6,0,0,0.0,0,
QB,Deshaun Watson\WatsDe00,AFC,HOU,25,3,15,15,354,505,4458,30,6,87,432,3,0,0,0,0,0.0,0,
QB,Russell Wilson\WilsRu00,NFC,SEA,32,8,15,15,364,522,4031,38,13,78,484,2,0,0,0,0,0.0,0,
RB,Nick Chubb\ChubNi00,AFC,CLE,25,2,11,11,0,0,0,0,0,176,959,11,16,150,0,0,0.0,0,
RB,Dalvin Cook\CookDa01,NFC,MIN,25,3,14,14,0,0,0,0,0,312,1557,16,44,361,1,0,0.0,0,
RB,Derrick Henry\HenrDe00,AFC,TEN,26,4,15,15,0,0,0,0,0,344,1777,15,19,114,0,0,0.0,0,
RB,Josh Jacobs\JacoJo01,AFC,LVR,22,1,14,14,0,0,0,0,0,258,976,10,33,238,0,0,0.0,0,
RB,Aaron Jones\JoneAa00,NFC,GNB,26,3,13,13,0,0,0,0,0,190,1062,8,43,312,2,0,0.0,0,
RB,Alvin Kamara\KamaAl00,NFC,NOR,25,3,15,10,0,0,0,0,0,187,932,16,83,756,5,0,0.0,0,
FB,Kyle Juszczyk\JuszKy00,NFC,SFO,29,7,15,14,0,0,0,0,0,16,64,2,18,198,4,0,0.0,0,
FB,Patrick Ricard\RicaPa00,AFC,BAL,26,3,14,9,0,0,0,0,0,1,-1,0,9,45,1,0,0.0,0,
WR,Davante Adams\AdamDa01,NFC,GNB,28,6,13,13,0,0,0,0,0,0,0,0,109,1328,17,0,0.0,0,
WR,Keenan Allen\AlleKe00,AFC,LAC,28,7,14,13,0,1,0,0,0,1,-1,0,100,992,8,0,0.0,0,
WR,A.J. Brown\BrowAJ00,AFC,TEN,23,1,13,11,0,0,0,0,0,0,0,0,60,924,10,0,0.0,0,
WR,Stefon Diggs\DiggSt00,AFC,BUF,27,5,15,15,0,0,0,0,0,1,1,0,120,1459,8,0,0.0,0,
WR,Tyreek Hill\HillTy00,AFC,KAN,26,4,15,15,0,0,0,0,0,13,123,2,87,1276,15,0,0.0,0,
WR,DeAndre Hopkins\HopkDe00,NFC,ARI,28,7,15,15,0,0,0,0,0,1,1,0,111,1372,6,0,0.0,0,
WR,Justin Jefferson\JeffJu00,NFC,MIN,21,Rook,15,13,0,0,0,0,0,1,2,0,79,1267,7,0,0.0,0,
WR,D.K. Metcalf\MetcDK00,NFC,SEA,23,1,15,15,0,0,0,0,0,0,0,0,80,1282,10,0,0.0,0,
TE,Evan Engram\EngrEv00,NFC,NYG,26,3,15,13,0,0,0,0,0,6,26,1,61,637,1,0,0.0,0,
TE,T.J. Hockenson\HockTJ00,NFC,DET,23,1,15,15,0,0,0,0,0,1,0,0,64,698,6,0,0.0,0,
TE,Travis Kelce\KelcTr00,AFC,KAN,31,7,15,15,1,2,4,0,0,0,0,0,105,1416,11,0,0.0,0,
TE,Darren Waller\WallDa01,AFC,LVR,28,5,15,14,0,0,0,0,0,0,0,0,98,1079,8,0,0.0,0,
T,Terron Armstead\ArmsTe00,NFC,NOR,29,7,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
T,David Bakhtiari\BakhDa00,NFC,GNB,29,7,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
T,Orlando Brown Jr.\BrowOr00,AFC,BAL,24,2,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
