Pos,Player,Conf,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,All-pro teams
RT,Willie Anderson\AndeWi00,AFC,CIN,31,10,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,PFW: 1st Tm All-Conf. AP: 1st Tm
,Brendon Ayanbadejo\AyanBr99,NFC,CHI,30,3,16,1,0,0,0,0,0,0,0,0,0,0,0,23,0.0,0,PFW: 1st Tm All-Conf. FW: 1st Tm
FS,Brian Dawkins\DawkBr00,NFC,PHI,33,10,16,16,0,0,0,0,0,0,0,0,0,0,0,76,1.0,4,PFW: 1st Tm All-Conf. AP: 1st Tm
MLB,Zach Thomas\ThomZa01,AFC,MIA,33,10,16,16,0,0,0,0,0,0,0,0,0,0,0,103,3.0,1,PFW: 1st Tm All-Conf. AP: 1st Tm
FB,Lorenzo Neal\NealLo00,AFC,SDG,36,13,16,11,0,0,0,0,0,29,140,1,17,83,0,0,0.0,0,AP: 1st Tm
RB,Frank Gore\GoreFr00,NFC,SFO,23,1,16,16,0,0,0,0,0,312,1695,8,61,485,1,0,0.0,0,PFW: 1st Tm All-Conf. AP: 2nd Tm
WR,Torry Holt\HoltTo00,NFC,STL,30,7,16,16,0,0,0,0,0,0,0,0,93,1188,10,0,0.0,0,PFW: 1st Tm All-Conf. AP: 2nd Tm
RB,Steven Jackson\JackSt00,NFC,STL,23,2,16,16,0,0,0,0,0,346,1528,13,90,806,3,0,0.0,0,PFW: 1st Tm All-Conf. AP: 2nd Tm
LDE,Aaron Kampman\KampAa99,NFC,GNB,27,4,16,16,0,0,0,0,0,0,0,0,0,0,0,59,15.5,0,PFW: 1st Tm All-Conf. AP: 2nd Tm
QB,Peyton Manning\MannPe00,AFC,IND,30,8,16,16,362,557,4397,31,9,23,36,4,0,0,0,,0.0,0,PFW: 1st Tm All-Conf. AP: 2nd Tm
,Mat McBriar\McBrMa20,NFC,DAL,27,2,16,0,0,0,0,0,0,1,0,0,0,0,0,,0.0,0,PFW: 1st Tm All-Conf. AP: 2nd Tm
C,Jeff Saturday\SatuJe55,AFC,IND,31,7,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,PFW: 1st Tm All-Conf. AP: 2nd Tm
RDE,Aaron Schobel\SchoAa99,AFC,BUF,29,5,16,16,0,0,0,0,0,0,0,0,0,0,0,35,14.0,0,PFW: 1st Tm All-Conf. AP: 2nd Tm
RDE,Richard Seymour\SeymRi00,AFC,NWE,27,5,16,15,0,0,0,0,0,0,0,0,0,0,0,23,4.0,1,PFW: 1st Tm All-Conf. AP: 2nd Tm
RG,Will Shields\ShieWi00,AFC,KAN,35,13,16,16,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,PFW: 1st Tm All-Conf. AP: 2nd Tm
ROLB,DeMarcus Ware\WareDe99,NFC,DAL,24,1,16,16,0,0,0,0,0,0,0,0,0,0,0,59,11.5,1,PFW: 1st Tm All-Conf. AP: 2nd Tm
,Nate Kaeding\kaedinat01,AFC,SDG,24,2,16,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,0,PFW: 1st Tm All-Conf. AP: 2nd Tm
TE,Alge Crumpler\CrumAl00,NFC,ATL,29,5,16,16,0,0,0,0,0,0,0,0,56,780,8,0,0.0,0,PFW: 1st Tm All-Conf.
WR,Donald Driver\DrivDo00,NFC,GNB,31,7,16,16,0,0,0,0,0,7,16,0,92,1295,8,0,0.0,0,PFW: 1st Tm All-Conf.
LDT,Tommie Harris\HarrTo99,NFC,CHI,23,2,12,11,0,0,0,0,0,0,0,0,0,0,0,22,5.0,0,PFW: 1st Tm All-Conf.
,Kassim Osgood\OsgoKa00,AFC,SDG,26,3,16,0,0,0,0,0,0,0,0,0,0,0,0,7,0.0,0,PFW: 1st Tm All-Conf.
LCB,Lito Sheppard\ShepLi99,NFC,PHI,25,4,13,13,0,0,0,0,0,0,0,0,0,0,0,25,0.0,6,PFW: 1st Tm All-Conf.
